ID,Target Pressure (bar)
0,0.944501586
1,0.506173244
2,0.306879583
3,0.027755633
4,0.384143689
5,0.633429161
6,0.482123723
7,0.931564891
8,0.625422636
9,0.514667701
10,0.152151778
11,0.186069529
12,0.307250728
13,0.893278694
14,0.803496963
15,0.27025071
16,0.810046803
17,0.554635061
18,0.685481658
19,0.184282613
20,0.950144353
21,0.885306779
22,0.542955676
23,0.608665094
24,0.801830513
25,0.290143947
26,0.20302085
27,0.239967743
28,0.538134422
29,0.477515081
30,0.673659142
31,0.371696113
32,0.752758089
33,0.19989211
34,0.819311118
35,0.537368796
36,0.800770086
37,0.258874836
38,0.692508328
39,0.782570443
40,0.716207763
41,0.872130722
42,0.960767584
43,0.079947717
44,0.689381651
45,0.993185869
46,0.246737154
47,0.161505639
48,0.86897332
49,0.166020624
50,0.807657452
51,0.326405388
52,0.759870765
53,0.369882152
54,0.960495137
55,0.993942842
56,0.09549705
57,0.051958073
58,0.805328126
59,0.655367376
60,0.755338259
61,0.844161991
62,0.887067896
63,0.336255577
64,0.636755583
65,0.955236772
66,0.084856661
67,0.936403598
68,0.688510981
69,0.546769335
70,0.101041403
71,0.828694539
72,0.490939767
73,0.169634106
74,0.527250214
75,0.542304702
76,0.309003999
77,0.966113322
78,0.801568653
79,0.20621983
80,0.184276508
81,0.797429882
82,0.596642758
83,0.577213897
84,0.594477395
85,0.895458029
86,0.345662481
87,0.799960449
88,0.150375883
89,0.425767372
90,0.354744525
91,0.815321613
92,0.966149991
93,0.187717987
94,0.591728441
95,0.063278288
96,0.303496196
97,0.224806771
98,0.80241899
99,0.011361961
100,0.625522241
101,0.051595221
102,0.070528673
103,0.378417865
104,0.103001048
105,0.979945667
106,0.050173359
107,0.765686748
108,0.076893669
109,0.917477057
110,0.83696106
111,0.066682481
112,0.063249298
113,0.014118752
114,0.049456939
115,0.041602722
116,0.309908665
117,0.740804773
118,0.857731895
119,0.539627135
120,0.679721923
121,0.093745084
122,0.591580086
123,0.694959535
124,0.949226745
125,0.845835771
126,0.276218643
127,0.504975146
128,0.336119218
129,0.404834207
130,0.545959435
131,0.375185947
132,0.067530781
133,0.841486
134,0.583429414
135,0.149442311
136,0.887017482
137,0.675931593
138,0.666816083
139,0.403749139
140,0.414565944
141,0.560623912
142,0.924045811
143,0.202380224
144,0.362059958
145,0.517197239
146,0.342915625
147,0.242041553
148,0.539038815
149,0.05999579
150,0.273452001
151,0.6388285
152,0.445458011
153,0.110676011
154,0.139432932
155,0.460004422
156,0.654014787
157,0.561226861
158,0.495668168
159,0.62682148
160,0.479067333
161,0.448161512
162,0.164988804
163,0.482980242
164,0.830696428
165,0.797751551
166,0.862557499
167,0.053841541
168,0.052584349
169,0.260388637
170,0.302749101
171,0.188235258
172,0.997078397
173,0.576084813
174,0.688910378
175,0.585763712
176,0.008886904
177,0.90048986
178,0.380841743
179,0.930738052
180,0.405845381
181,0.677242126
182,0.44696316
183,0.54900294
184,0.161211637
185,0.108453619
186,0.201389109
187,0.482683766
188,0.862215387
189,0.141172643
190,0.827803287
191,0.101292264
192,0.370006403
193,0.582196301
194,0.992393106
195,0.086903757
196,0.76255722
197,0.388443979
198,0.06087776
199,0.03714698
200,0.674396224
201,0.500628239
202,0.245221383
203,0.913035505
204,0.400685794
205,0.59593668
206,0.584014624
207,0.370911979
208,0.404600991
209,0.966535683
210,0.176045079
211,0.561267216
212,0.582826586
213,0.972782381
214,0.48482673
215,0.730725067
216,0.38527802
217,0.006816351
218,0.565635306
219,0.840073505
220,0.868445888
221,0.228417243
222,0.119674674
223,0.705315694
224,0.739905101
225,0.982982783
226,0.166322607
227,0.188545938
228,0.693108254
229,0.812625246
230,0.139996801
231,0.719054672
232,0.814400519
233,0.71689578
234,0.393371961
235,0.947007962
236,0.689235766
237,0.530175359
238,0.293826546
239,0.29300834
240,0.773318366
241,0.773527613
242,0.899377412
243,0.756081271
244,0.531035104
245,0.983355456
246,0.828164427
247,0.054535837
248,0.568890219
249,0.005329728
250,0.828372407
251,0.972244389
252,0.81821313
253,0.837719794
254,0.775088429
255,0.750045427
256,0.711548014
257,0.985384077
258,0.619073301
259,0.593179117
260,0.68028135
261,0.906437261
262,0.715113819
263,0.635299289
264,0.511618962
265,0.84086119
266,0.619952215
267,0.802374234
268,0.138609072
269,0.645746908
270,0.439407591
271,0.563097658
272,0.837148967
273,0.781600688
274,0.536655741
275,0.591848998
276,0.066674175
277,0.795130438
278,0.895754067
279,0.373120942
280,0.356025389
281,0.92804861
282,0.057846847
283,0.97542456
284,0.694692766
285,0.690153885
286,0.293164564
287,0.067897097
288,0.17003735
289,0.966960061
290,0.873742494
291,0.26861635
292,0.829360816
293,0.128532652
294,0.536872513
295,0.647379168
296,0.737722857
297,0.50578175
298,0.082066196
299,0.648504591
300,0.799527477
301,0.905052423
302,0.188018181
303,0.473676562
304,0.793480052
305,0.401621068
306,0.983458486
307,0.950172395
308,0.118017554
309,0.996864049
310,0.188685133
311,0.379169421
312,0.531643848
313,0.517324181
314,0.052236702
315,0.053296438
316,0.713822372
317,0.42320386
318,0.090706922
319,0.433506097
320,0.317454772
321,0.922564315
322,0.538108959
323,0.164688966
324,0.504035894
325,0.738472064
326,0.68880161
327,0.843762395
328,0.874758099
329,0.945389753
330,0.650771607
331,0.208803307
332,0.207997221
333,0.162050145
334,0.556702753
335,0.825783174
336,0.57020173
337,0.730156711
338,0.145815449
339,0.153453418
340,0.081886178
341,0.056711611
342,0.958769222
343,0.644341382
344,0.637540513
345,0.711329349
346,0.408398938
347,0.895979643
348,0.286376686
349,0.823405903
350,0.51787336
351,0.106273979
352,0.475937535
353,0.03735587
354,0.617275079
355,0.60083915
356,0.409951583
357,0.143752474
358,0.868276168
359,0.219376723
360,0.335597475
361,0.375211516
362,0.088083896
363,0.528075655
364,0.140432991
365,0.961782067
366,0.248164573
367,0.806905915
368,0.43330067
369,0.552819108
370,0.948542284
371,0.166972279
372,0.050516024
373,0.154328333
374,0.233139791
375,0.633647797
376,0.535770053
377,0.925992112
378,0.471291984
379,0.950739084
380,0.920143653
381,0.629910828
382,0.03185777
383,0.73265602
384,0.808099826
385,0.958373492
386,0.821222434
387,0.155047033
388,0.16550771
389,0.862260046
390,0.271424597
391,0.782454861
392,0.722288004
393,0.677043647
394,0.365031722
395,0.500639905
396,0.395035767
397,0.674964247
398,0.918044782
399,0.91780923
400,0.652190993
401,0.014692633
402,0.913092959
403,0.024146418
404,0.991381734
405,0.336015818
406,0.817300981
407,0.214077879
408,0.795000229
409,0.365535237
410,0.044533644
411,0.19548345
412,0.84367717
413,0.372790298
414,0.437461383
415,0.637272771
416,0.795652617
417,0.072350254
418,0.492444416
419,0.065000705
420,0.531875121
421,0.706654049
422,0.138086051
423,0.841712531
424,0.57578626
425,0.467847011
426,0.903794251
427,0.387069433
428,0.366276377
429,0.366189853
430,0.179385706
431,0.697896714
432,0.232987809
433,0.258687772
434,0.4197353
435,0.357994199
436,0.076669886
437,0.686798932
438,0.798122152
439,0.195435748
440,0.11816527
441,0.370241974
442,0.593264972
443,0.542039888
444,0.154177547
445,0.591304314
446,0.025454514
447,0.060087339
448,0.790156999
449,0.322350917
450,0.95433669
451,0.228984997
452,0.805691722
453,0.007413748
454,0.185494725
455,0.544622475
456,0.868594356
457,0.713971022
458,0.191814026
459,0.104889321
460,0.143736551
461,0.53151456
462,0.544245387
463,0.407049136
464,0.392401491
465,0.742695324
466,0.985376459
467,0.773039211
468,0.489047282
469,0.177253504
470,0.626079664
471,0.387964628
472,0.136003552
473,0.040613346
474,0.079097054
475,0.19955376
476,0.127970066
477,0.518218505
478,0.056362727
479,0.092322773
480,0.2310298
481,0.989310111
482,0.773742852
483,0.23950113
484,0.470612933
485,0.634262219
486,0.587607793
487,0.809876286
488,0.187467285
489,0.896615279
490,0.074205233
491,0.462925456
492,0.358623806
493,0.590869043
494,0.832497628
495,0.006897417
496,0.044675433
497,0.857467305
498,0.202055349
499,0.027547778
500,0.420722124
501,0.8462362
502,0.154021562
503,0.368506011
504,0.123980471
505,0.561154969
506,0.534658544
507,0.6213851
508,0.323341568
509,0.897705631
510,0.288589028
511,0.722352083
512,0.150381488
513,0.356615863
514,0.089919161
515,0.822549438
516,0.885473101
517,0.865846074
518,0.658842844
519,0.595439625
520,0.895064254
521,0.244851078
522,0.433563225
523,0.269305951
524,0.393798543
525,0.227616886
526,0.526499063
527,0.366344818
528,0.124840138
529,0.377967502
530,0.763270323
531,0.575377546
532,0.743379789
533,0.86013514
534,0.851378142
535,0.087588231
536,0.206777612
537,0.667635104
538,0.500530325
539,0.668027606
540,0.66019535
541,0.071349006
542,0.043591452
543,0.465042122
544,0.189432532
545,0.578284597
546,0.294483633
547,0.629850283
548,0.903912256
549,0.59192702
550,0.800004455
551,0.305223101
552,0.423479962
553,0.072246719
554,0.092664049
555,0.522619781
556,0.135896743
557,0.817092208
558,0.28440856
559,0.844780461
560,0.784830319
561,0.104829002
562,0.528851104
563,0.065619098
564,0.653519021
565,0.502430341
566,0.621769301
567,0.255576624
568,0.041050649
569,0.77674255
570,0.845803429
571,0.797147487
572,0.417595902
573,0.926248051
574,0.062615216
575,0.893183252
576,0.914032758
577,0.708543269
578,0.335070579
579,0.089507169
580,0.216044692
581,0.056220937
582,0.859360034
583,0.54549536
584,0.511801218
585,0.184752855
586,0.849533864
587,0.400347006
588,0.316620572
589,0.433039938
590,0.715379166
591,0.624025752
592,0.779631525
593,0.235173066
594,0.316258608
595,0.737181752
596,0.198544354
597,0.509470032
598,0.973395497
599,0.851986261
600,0.29116816
601,0.464268503
602,0.466810802
603,0.28686196
604,0.326707973
605,0.767283127
606,0.301057366
607,0.723476339
608,0.050160459
609,0.446972362
610,0.180003461
611,0.81369796
612,0.078280865
613,0.38124662
614,0.033359787
615,0.040926786
616,0.10368285
617,0.495652562
618,0.674461334
619,0.913466808
620,0.23144156
621,0.107382898
622,0.619540755
623,0.79545411
624,0.601007832
625,0.547012126
626,0.954580477
627,0.804701425
628,0.857698447
629,0.141548872
630,0.376012958
631,0.322821081
632,0.157898859
633,0.377995232
634,0.88696511
635,0.568810966
636,0.232452554
637,0.462983574
638,0.407505136
639,0.181922632
640,0.281806888
641,0.385027799
642,0.233462789
643,0.796384117
644,0.250359622
645,0.514031876
646,0.750516454
647,0.568395951
648,0.259513507
649,0.383118652
650,0.765902497
651,0.515590761
652,0.915992695
653,0.059243804
654,0.67104707
655,0.716828622
656,0.417348456
657,0.833199975
658,0.31859626
659,0.754008795
660,0.482977126
661,0.563038536
662,0.560423559
663,0.712824825
664,0.446962165
665,0.955404235
666,0.788332066
667,0.343931519
668,0.452232054
669,0.588945225
670,0.256413063
671,0.777988755
672,0.789703272
673,0.664650728
674,0.29614551
675,0.569378896
676,0.86586425
677,0.538890504
678,0.067056995
679,0.24896488
680,0.966145841
681,0.90139377
682,0.538119469
683,0.692166856
684,0.129418777
685,0.704378259
686,0.970081424
687,0.018328961
688,0.408347499
689,0.083376503
690,0.915802631
691,0.805026033
692,0.070073158
693,0.359072057
694,0.962659842
695,0.643057487
696,0.073469722
697,0.276793238
698,0.684811447
699,0.843483986
700,0.260709575
701,0.415421742
702,0.256294341
703,0.229825302
704,0.083730828
705,0.208431718
706,0.117741058
707,0.005584326
708,0.960149413
709,0.620115557
710,0.994681007
711,0.072076317
712,0.374937708
713,0.298766426
714,0.536715007
715,0.117828327
716,0.026624864
717,0.172366489
718,0.020615933
719,0.33785996
720,0.556858833
721,0.831598828
722,0.273929541
723,0.335455894
724,0.770423983
725,0.399535328
726,0.648388459
727,0.766440136
728,0.816361152
729,0.005175248
730,0.079309883
731,0.814644933
732,0.675341994
733,0.749232754
734,0.076497571
735,0.053438535
736,0.459464601
737,0.126778157
738,0.292685521
739,0.259618898
740,0.0926531
741,0.628468811
742,0.236035573
743,0.249936511
744,0.691880613
745,0.887718209
746,0.645492981
747,0.528888913
748,0.652041551
749,0.900992398
750,0.515703395
751,0.875522448
752,0.098007158
753,0.612363391
754,0.636495021
755,0.835626875
756,0.930037416
757,0.353482352
758,0.600096489
759,0.943135471
760,0.346515779
761,0.582137102
762,0.828424981
763,0.185842003
764,0.131025059
765,0.302012524
766,0.805530348
767,0.797535572
768,0.628117508
769,0.242003389
770,0.415555747
771,0.159178818
772,0.78857893
773,0.774654828
774,0.527767234
775,0.259316295
776,0.737299453
777,0.303238495
778,0.151774414
779,0.822724337
780,0.150669979
781,0.040678279
782,0.606747999
783,0.671612275
784,0.112654443
785,0.691867137
786,0.697417183
787,0.353338399
788,0.124526405
789,0.945432923
790,0.063355541
791,0.405926976
792,0.198895633
793,0.123295484
794,0.898869232
795,0.034114213
796,0.757132475
797,0.10994885
798,0.90977697
799,0.03141923
800,0.905885578
801,0.477290663
802,0.641053931
803,0.589406389
804,0.076342111
805,0.172322242
806,0.301627251
807,0.704641462
808,0.784501882
809,0.469954183
810,0.809162716
811,0.561002329
812,0.721670994
813,0.969975479
814,0.532493323
815,0.318963819
816,0.23686901
817,0.710749226
818,0.822410747
819,0.266673949
820,0.599773738
821,0.469372492
822,0.297599829
823,0.355849527
824,0.733418315
825,0.599971965
826,0.929951072
827,0.548073562
828,0.368166236
829,0.6056017
830,0.242957892
831,0.399758114
832,0.474795791
833,0.669249031
834,0.787544637
835,0.066053947
836,0.460023835
837,0.633224764
838,0.57675754
839,0.176486844
840,0.594014666
841,0.24661219
842,0.382144433
843,0.635241549
844,0.184939533
845,0.187080479
846,0.997078475
847,0.747676806
848,0.886374463
849,0.84896182
850,0.667416614
851,0.702423469
852,0.488182466
853,0.364785938
854,0.103413532
855,0.057145833
856,0.397739816
857,0.422825227
858,0.186297922
859,0.385016627
860,0.22217004
861,0.288381578
862,0.011757089
863,0.311294818
864,0.522756729
865,0.292177771
866,0.354328796
867,0.206124969
868,0.099028551
869,0.901655895
870,0.602869691
871,0.102252588
872,0.636526585
873,0.519191752
874,0.71844729
875,0.459669381
876,0.648461871
877,0.348716642
878,0.269197264
879,0.641554398
880,0.811911418
881,0.317669458
882,0.454591704
883,0.368138825
884,0.537244939
885,0.662407564
886,0.246502714
887,0.36126198
888,0.732771531
889,0.918075065
890,0.183751946
891,0.019434692
892,0.704194569
893,0.899080131
894,0.501085127
895,0.79541817
896,0.768244777
897,0.681380208
898,0.145913558
899,0.648450453
900,0.674895662
901,0.603090357
902,0.393578164
903,0.640715639
904,0.867618736
905,0.078877498
906,0.111177529
907,0.365130124
908,0.035504917
909,0.769573408
910,0.408840839
911,0.822362239
912,0.255101485
913,0.696575176
914,0.62697506
915,0.725651008
916,0.025845293
917,0.19006454
918,0.426208245
919,0.376823824
920,0.646623257
921,0.376682189
922,0.503906869
923,0.850930326
924,0.009167075
925,0.725172054
926,0.892956178
927,0.592577697
928,0.106538476
929,0.183213452
930,0.58961337
931,0.456518936
932,0.748290839
933,0.33571406
934,0.379934991
935,0.794789147
936,0.209755404
937,0.354866419
938,0.901569706
939,0.788643088
940,0.985348482
941,0.340942423
942,0.751637792
943,0.436814317
944,0.863312572
945,0.755703073
946,0.916467209
947,0.48441549
948,0.38170392
949,0.641744267
950,0.85662593
951,0.156112376
952,0.604413548
953,0.805226002
954,0.823285737
955,0.389437925
956,0.822099834
957,0.126428396
958,0.256019054
959,0.656188256
960,0.719577459
961,0.342081768
962,0.470226316
963,0.608342516
964,0.343355082
965,0.53977676
966,0.642624831
967,0.599687422
968,0.444564825
969,0.165042885
970,0.802990623
971,0.223636908
972,0.623574918
973,0.042810445
974,0.275541169
975,0.127528581
976,0.994389395
977,0.266331499
978,0.381905569
979,0.950325405
980,0.47989567
981,0.362694457
982,0.26082491
983,0.286079314
984,0.782274312
985,0.403637765
986,0.962146217
987,0.165598684
988,0.046661308
989,0.443566088
990,0.009300738
991,0.05732345
992,0.477075108
993,0.552419017
994,0.68087311
995,0.447622991
996,0.779554972
997,0.366260827
998,0.638294607
999,0.184231629
1000,0.982135129
1001,0.044374489
1002,0.075021362
1003,0.742125166
1004,0.80128435
1005,0.699933739
1006,0.054837452
1007,0.060603585
1008,0.226556365
1009,0.014276687
1010,0.458736656
1011,0.791288178
1012,0.312891869
1013,0.386407182
1014,0.607700857
1015,0.008140732
1016,0.554989843
1017,0.441669208
1018,0.526529827
1019,0.101725659
1020,0.427235635
1021,0.707728364
1022,0.104452262
1023,0.522215481
1024,0.111173156
1025,0.489580027
1026,0.550378921
1027,0.592935356
1028,0.871752328
1029,0.242845979
1030,0.622963304
1031,0.932113441
1032,0.307223516
1033,0.544669424
1034,0.504560496
1035,0.387780157
1036,0.639767856
1037,0.366668041
1038,0.260481709
1039,0.880325005
1040,0.148110584
1041,0.279071099
1042,0.556878218
1043,0.517693814
1044,0.606472594
1045,0.519662479
1046,0.226658284
1047,0.253761415
1048,0.400540221
1049,0.428875707
1050,0.333736208
1051,0.17448537
1052,0.991716129
1053,0.803223918
1054,0.721235479
1055,0.496956956
1056,0.775926822
1057,0.896212761
1058,0.812048408
1059,0.624648732
1060,0.057478654
1061,0.703527092
1062,0.793756407
1063,0.751828271
1064,0.254654831
1065,0.180899376
1066,0.727402363
1067,0.369122818
1068,0.083648748
1069,0.81096813
1070,0.952809803
1071,0.655000683
1072,0.204950477
1073,0.627500264
1074,0.549551528
1075,0.483765019
1076,0.87438747
1077,0.520322192
1078,0.757948261
1079,0.065689088
1080,0.210141213
1081,0.038680648
1082,0.06241023
1083,0.507934033
1084,0.632944866
1085,0.470987045
1086,0.475817775
1087,0.73349373
1088,0.573725759
1089,0.12069935
1090,0.7078045
1091,0.626795522
1092,0.386975228
1093,0.221444521
1094,0.740300538
1095,0.569700227
1096,0.339690303
1097,0.832506031
1098,0.843363818
1099,0.7533442
1100,0.593268963
1101,0.598194652
1102,0.158243059
1103,0.649835009
1104,0.229245963
1105,0.425801218
1106,0.082848603
